index,raw_pixel,filtered_value,threshold_status
0,10,57.1632,0
1,200,97.562,0
2,50,113.922,1
3,180,114.837,1
4,30,120.793,1
5,220,130.815,1
6,90,124.134,1
7,150,90.7519,0
8,0,45.132,0
9,0,12.5393,0
10,0,1.32271,0
11,0,0.0377655,0
12,0,0.025177,0
13,0,1.75983,0
14,0,17.4492,0
15,0,66.3185,0
16,200,136.051,1
17,210,184.009,1
18,190,198.161,1
19,205,199.896,1
20,195,201.33,1
21,215,199.683,1
22,185,183.188,1
23,210,135.347,1
24,0,67.0208,0
25,0,18.0429,0
26,0,1.86665,0
27,0,0.0528717,0
28,0,0.0125885,0
29,0,0.881805,0
30,0,8.85269,0
31,0,34.2031,0
32,100,70.7147,0
33,120,95.7978,0
34,80,105.307,1
35,130,111.357,1
36,110,115.062,1
37,125,112.277,1
38,95,100.299,1
39,115,73.1952,0
40,0,36.2733,0
41,0,9.8278,0
42,0,1.02062,0
43,0,0.0289536,0
44,0,0.00629425,0
45,0,0.440903,0
46,0,4.42635,0
47,0,17.1022,0
48,50,35.4007,0
49,60,48.2894,0
50,40,53.8814,0
51,70,57.5709,0
52,55,59.1673,0
53,65,56.9796,0
54,45,50.5401,0
55,60,37.0501,0
56,0,18.5665,0
57,0,5.08793,0
58,0,0.531349,0
59,0,0.0151062,0
60,0,0.0226593,0
61,0,1.58398,0
62,0,15.7128,0
63,0,59.7573,0
64,180,122.7,1
65,190,166.525,1
66,170,180.664,1
67,195,182.556,1
68,175,181.33,1
69,185,177.199,1
70,165,162.596,1
71,190,121.129,1
72,0,60.3692,0
73,0,16.3015,0
74,0,1.68827,0
75,0,0.0478363,0
76,0,0.0321007,0
77,0,2.2403,0
78,0,22.0081,0
79,0,82.4559,0
80,255,167.233,1
81,240,225.716,1
82,250,244.876,1
83,245,247.938,1
84,255,247.971,1
85,240,244.819,1
86,250,225.054,1
87,245,165.544,1
88,0,80.7698,0
89,0,21.3435,0
90,0,2.18636,0
91,0,0.0616836,0
92,0,0.00125885,0
93,0,0.0891876,0
94,0,0.955486,0
95,0,4.10669,0
96,10,9.65195,0
97,20,14.9475,0
98,15,17.7507,0
99,25,17.9674,0
100,10,17.0295,0
101,20,16.944,0
102,15,17.0157,0
103,25,13.867,0
104,0,7.37881,0
105,0,2.08569,0
106,0,0.220451,0
107,0,0.00629425,0
108,0,0.0161133,0
109,0,1.12574,0
110,0,11.1299,0
111,0,42.1387,0
112,128,86.3616,0
113,130,117.396,1
114,126,127.582,1
115,132,128.999,1
116,127,128.981,1
117,131,127.33,1
118,125,116.793,1
119,129,85.8629,0
120,0,42.0486,0
121,0,11.1817,0
122,0,1.14951,0
123,0,0.0324783,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
